Word,Word Count,Doc Count,Average Proportion
abeyance,21079,8363,4.855823786429301e-07
abeyances,20,19,7.359368327124416e-10
almost,256855,167408,1.1609569677059003e-05
alteration,230850,79228,4.004253160864388e-06
alterations,341410,39932,4.969847413801363e-06
ambiguities,35354,24129,6.451586162247614e-07
ambiguity,57797,33418,8.432230690608999e-07
ambiguous,23462,17286,4.703343814846335e-07
anomalies,27834,11317,9.444698677326502e-07
anomalous,12136,4806,5.499400448914608e-07
anomalously,230,173,9.927276533282738e-09
anomaly,14346,5142,5.386168540429403e-07
anticipate,2463155,767698,0.0001131338591662
anticipated,3677872,880969,0.0001686910121736
anticipates,1020234,559454,7.16421474205684e-05
anticipating,39158,33086,1.613829044396177e-06
anticipation,273393,164883,1.091725494672158e-05
anticipations,8617,8028,4.84477655253924e-07
apparent,226941,174671,9.49644579886752e-06
apparently,12376,9109,5.090462795977025e-07
appear,587926,298799,1.8934641901610037e-05
appeared,87281,37233,2.442547921342828e-06
appearing,500618,259218,1.8314662819283984e-05
appears,582558,283569,2.0848297287760735e-05
approximate,1149366,523344,5.117814522893133e-05
approximated,259858,149203,1.2690829855792654e-05
approximately,23853847,1098455,0.0010642723741139
approximates,585141,337167,2.5724755658751667e-05
approximating,68402,46986,3.348427186164682e-06
approximation,19386,15140,6.27255138521017e-07
approximations,11622,8581,4.216377961749644e-07
arbitrarily,8772,6509,3.920231964313266e-07
arbitrariness,15,15,2.9582386766138193e-10
arbitrary,23176,15691,6.566586486632822e-07
assume,1097365,371485,2.795573642096117e-05
assumed,3121645,644601,0.0001097958959771
assumes,579878,294404,1.9125360340640296e-05
assuming,1268159,507236,5.4053246654296826e-05
assumption,1402066,348802,3.4574495435917834e-05
assumptions,7174198,962584,0.0002901023807821
believe,8350329,956808,0.0003031223693519
believed,596964,329205,2.4085885508470407e-05
believes,5583310,1028507,0.0003084324560394
believing,22365,18102,7.069001793052948e-07
cautious,21645,17341,9.44558799194682e-07
cautiously,6858,6054,3.614068087479443e-07
cautiousness,1009,877,2.4302974786466893e-08
clarification,117879,68388,3.402947672310669e-06
clarifications,29078,19959,1.0406924351264553e-06
conceivable,3103,2549,1.1638090779258209e-07
conceivably,2496,2079,1.1469761053616464e-07
conditional,389426,154894,1.033769911871005e-05
conditionally,45096,26784,1.5537298448289228e-06
confuses,105,88,3.725439099741621e-09
confusing,3023,2708,9.58472252652178e-08
confusingly,10669,6727,1.959998866999457e-07
confusion,29602,21591,7.91591677576712e-07
contingencies,2392045,784164,0.000113192369157
contingency,527111,216723,2.7796234317985472e-05
contingent,3508329,767175,0.0001274278447158
contingently,149646,82355,5.8745993898709394e-06
contingents,273,141,1.177942927141906e-08
could,29383125,1106616,0.0008814008591085
crossroad,960,417,3.3187604519446414e-08
crossroads,26194,5862,8.771592837949254e-07
depend,1992232,533595,6.525319420346156e-05
depended,17139,14704,6.872389158615064e-07
dependence,332799,195341,1.6449285140372222e-05
dependencies,8602,5529,3.51257013080177e-07
dependency,34668,26151,1.3612823484029375e-06
dependent,2522051,706886,0.0001106003750055
depending,1567577,545895,5.496060131101853e-05
depends,1284374,404404,3.746676153303898e-05
destabilizing,2384,1971,6.757066977453941e-08
deviate,33190,26758,9.875304859523162e-07
deviated,5309,3549,1.7820051117150185e-07
deviates,5221,4031,1.3947826798966278e-07
deviating,5700,5278,1.1833563467276345e-07
deviation,56349,33992,1.5682348440239948e-06
deviations,54295,33822,1.3067280368358896e-06
differ,3529464,1024544,0.0001910304527002
differed,67533,44935,2.6433702184717297e-06
differing,158438,108258,4.526082163628192e-06
differs,239278,162831,8.643920500728365e-06
doubt,1065762,336915,4.8322171273763566e-05
doubted,92,92,3.85349786554695e-09
doubtful,1628530,486813,7.909528804399973e-05
doubts,32232,25932,1.8986398110540816e-06
exposure,3734516,642002,0.0001147863569604
exposures,795598,247984,2.460348783056197e-05
fluctuate,792868,348572,2.863123538069568e-05
fluctuated,115620,85244,4.17052336811717e-06
fluctuates,92899,70838,3.590516290842285e-06
fluctuating,143029,91633,5.072828383127261e-06
fluctuation,235784,150102,1.0030475197743087e-05
